,Content,Timestamp,Coordenadas,Delito
29,"OTRA MUERTE VIOLENTA EN GUAYAQUIL Con más de 10 balazos asesinaron a un hombre cuando sacaba su carro del garage en la Coop. San Francisco 2, ubicada frente a la Cárcel Regional. Se descarta el robo, no se le llevaron nada. Los criminales escaparon caminando.",2021-05-26 10:29:00,,1
30,"Con 14 balazos asesinaron a (a) El Toro en la Isla Trinitaria, sur de GYE. El Toro era propietario de una barbería, llegaron 2 sujetos haciéndose pasar como clientes, a lo q abrió la puerta lo acribillaron. La víctima había sufrido 5 atentados y registraba 5 detenciones.",2021-05-27 10:47:00,"-2.2402791, -79.9220686",1
31,"Delincuentes les robaron a los comensales de un restaurante en Sauces 8, norte de Guayaquil. ",2021-06-06 21:24:00,,1
32,"El copiloto armado trató de robarle las pertenencias a la víctima, incluso tenía la intención de llevársele el carro. El taxista aguanto golpes y amenazas y no se dejó asaltar.",2021-06-07 14:59:00,,1
33,"Robaron en un local de electrodomésticos en Colón y Pichincha, Bahía de Guayaquil. El populacho enardecido destruyó el carro en el q se movilizaba un supuesto cómplice. 2 sujetos escaparon en una moto y uno fue retenido. El robo sería de $20.000. ",2021-06-10 14:27:00,"-2.194905, -79.884937",1
34,Cámaras de seguridad captaron a los 3 delincuentes por robarle apuñalaron en el corazón la madrugada de este miércoles a un joven de 24 años que se dirigía a su trabajo. Ocurrió en la Garzota norte de Guayaquil.,2021-06-16 04:14:00,,1
35,"Así roban a transeúntes en 10 de Agosto y 6 de Marzo, centro de Guayaquil.",2021-06-18 13:39:00,,1
36,Intento de secuestro en el sector San Eduardo al Norte de Guayaquil,2021-06-18 23:04:00,,1
37,Sicariato en la Prosperina,2021-06-21 23:53:00,,1
38,"IMPARABLES LOS ROBOS Ladrones armados que se movilizaban en un carro le robaron a un transeúnte. Ocurrió en las calles Bolivia y 6 de Marzo, centro sur de Guayaquil. ",2021-06-23 15:38:00,"54.5259614, -105.2551187",1
39,"Asesinan con 20 balazos al conductor de una camioneta cuando circulaba por la Av Ernesto Alban y Av 25 de Julio, sur de Guayaquil. ",2021-06-24 16:06:00,"-2.2349311, -79.9002713",1
40,"Sicarios mataron a un hombre en el sector conocido como la entrada de la 8, noroeste de Guayaquil. Policía en el punto. ",2021-06-24 22:21:00,"-2.1230321, -79.9514464",1
41,"Cámara capta asalto a mano armadq. Se le llevaron la moto y el casco, en medio del robo el ladrón disparó. Ocurrió en las calles San Martín entre la 13 y la 14",2021-06-25 16:53:00,"-2.2126226, -79.912514",1
42,"Delincuente rompe la ventana de una camioneta y comete el robo. Ocurrió a plena luz del día en la Av principal del Paraíso de la Flor, noroeste de Guayaquil",2021-06-27 11:09:00,"-2.1035171, -79.9559316",1
43,Roban un carro dentro del malecón!! Y nadie se hace responsable!! Entonces para que pagamos $1.50 la hora ahí adentro???,2021-07-21 09:07:00,"-2.187904, -79.881483",1
44,"El día de hoy, a eso de las 10 am, sujetos robaron a un cliente de una lavadora de autos en acuarelas del Río, S.12, Sauces 4, justo antes del 2do puente a Sambo Los ladrones se movilizaban en un auto kia picanto GSV 4833. Si alguien puede ayudar con los nombres del propietario",2021-07-24 18:08:00,,1
45,#ULTIMAHORA mataron a alias #Ñorki en el guasmo sur estaba involucrado en la muerte de #EfrainRuales,2021-07-24 19:48:00,"-2.2805355, -79.8757351",1
