TipoDelito,Comments,Likes,Retweets,Interactions
Accidente Vehicular,6.73394495412844,30.211009174311926,100.9908256880734,141625.2385321101
Agresión,31.813953488372093,158.69767441860466,511.6279069767442,405122.37209302327
Extorsión,251.0,29.178,950.5,693000.0
Fraude,9.5,90.0,166.0,179777.5
Homicidio,14.057692307692308,112.40384615384616,310.63461538461536,645870.6923076923
Incendio,0.5,8.4,30.3,229952.7
Robo,43.70454545454545,173.72730303030303,594.9545454545455,592946.5757575758
Secuestro,0.0,60.0,176.0,134000.0
Vandalismo,44.25,108.25,339.625,526665.375
